Activity Compose,license_apache20
APKUpdater-Library,license_apkupdater
Coil Compose,license_coil
ComposeCharts,license_apache20
Compose Graphics,license_apache20
Compose Material3 Components,license_apache20
Compose Navigation,license_apache20
Compose Tooling,license_apache20
Compose UI,license_apache20
Core Kotlin Extensions,license_apache20
Jetpack Compose Libraries BOM,license_apache20
Kotlinx Coroutines Android,license_apache20
Kotlinx Serialization JSON,license_apache20
Lifecycle Kotlin Extensions,license_apache20
Lifecycle ViewModel Compose,license_apache20
Material Symbols / Material Icons,license_apache20
Navigation Runtime Kotlin Extensions,license_apache20
OkHttp,license_apache20
Room Compiler,license_apache20
Room Kotlin Extensions,license_apache20
Room Runtime,license_apache20
SplashScreen,license_apache20
